Time period,Number of fixed performance bugs,Total number of fixed bugs,Percentage
2016-02,1,186,0.005376344086021506
2016-03,2,219,0.0091324200913242
2016-04,2,238,0.008403361344537815
2016-05,2,254,0.007874015748031496
2016-06,2,292,0.00684931506849315
2016-07,3,318,0.009433962264150943
2016-08,4,330,0.012121212121212121
2016-09,5,354,0.014124293785310734
2016-10,5,374,0.013368983957219251
2016-11,5,400,0.0125
2016-12,5,423,0.01182033096926714
2017-01,5,429,0.011655011655011656
2017-02,6,456,0.013157894736842105
2017-03,6,482,0.012448132780082987
2017-04,6,505,0.011881188118811881
2017-05,6,520,0.011538461538461539
2017-06,6,537,0.0111731843575419
2017-07,8,567,0.014109347442680775
2017-08,8,580,0.013793103448275862
2017-09,8,609,0.013136288998357963
2017-10,10,640,0.015625
2017-11,12,658,0.0182370820668693
2017-12,12,683,0.017569546120058566
2018-01,13,712,0.018258426966292134
2018-02,14,751,0.018641810918774968
2018-03,17,773,0.02199223803363519
2018-04,18,801,0.02247191011235955
2018-05,18,826,0.021791767554479417
2018-06,18,855,0.021052631578947368
2018-07,22,883,0.02491506228765572
2018-08,24,906,0.026490066225165563
2018-09,25,935,0.026737967914438502
2018-10,25,961,0.026014568158168574
2018-11,26,983,0.026449643947100712
2018-12,27,998,0.027054108216432865
2019-01,27,1008,0.026785714285714284
2019-02,27,1023,0.026392961876832845
2019-03,29,1044,0.027777777777777776
2019-04,29,1058,0.027410207939508508
2019-05,29,1081,0.02682701202590194
2019-06,32,1099,0.029117379435850774
2019-07,34,1116,0.03046594982078853
2019-08,34,1141,0.029798422436459245
2019-09,34,1156,0.029411764705882353
2019-10,35,1169,0.029940119760479042
2019-11,35,1177,0.029736618521665252
2019-12,35,1188,0.029461279461279462
2020-01,36,1201,0.02997502081598668
2020-02,37,1225,0.030204081632653063
2020-03,37,1239,0.02986279257465698
2020-04,38,1253,0.030327214684756583
2020-05,38,1271,0.02989771833202203
2020-06,39,1288,0.030279503105590064
2020-07,42,1304,0.032208588957055216
2020-08,44,1317,0.033409263477600606
2020-09,45,1333,0.03375843960990248
2020-10,46,1350,0.034074074074074076
2020-11,47,1361,0.034533431300514325
2020-12,47,1372,0.034256559766763846
2021-01,47,1389,0.033837293016558675
2021-02,47,1395,0.03369175627240143
